"","param_vary","i_param_var","PBD.l1","PBD.l2","PBD.l3","PBD.mu1","PBD.mu2"
"1",1,1,0.315478672240097,1,0.315478672240097,0.2,0.2
"2",1,2,0.397164117362141,1,0.397164117362141,0.2,0.2
"3",1,3,0.5,1,0.5,0.2,0.2
"4",1,4,0.629462705897084,1,0.629462705897084,0.2,0.2
"5",1,5,0.792446596230557,1,0.792446596230557,0.2,0.2
"6",2,1,0.5,0.1,0.5,0.2,0.2
"7",2,2,0.5,0.316227766016838,0.5,0.2,0.2
"8",2,3,0.5,1,0.5,0.2,0.2
"9",2,4,0.5,3.16227766016838,0.5,0.2,0.2
"10",2,5,0.5,10,0.5,0.2,0.2
"11",3,1,0.5,1,0.5,0.0126191468896039,0.0126191468896039
"12",3,2,0.5,1,0.5,0.0316978638492223,0.0316978638492223
"13",3,3,0.5,1,0.5,0.0796214341106995,0.0796214341106995
"14",3,4,0.5,1,0.5,0.2,0.2
"15",3,5,0.5,1,0.5,0.502377286301916,0.502377286301916
