,Unnamed: 0,param_vary,i_param_var,replicate,PBD.l1,PBD.l2,PBD.l3,PBD.mu1,PBD.mu2,SR,PBD.LR.all,PBD.LR.extant,ML.l,ML.mu,MCMC.l.mean,MCMC.l.median,MCMC.l.sd,MCMC.l.q25,MCMC.l.q75,MCMC.l.ess,MCMC.mu.mean,MCMC.mu.median,MCMC.mu.sd,MCMC.mu.q25,MCMC.mu.q75,MCMC.mu.ess,MCMC.div.mean,MCMC.div.median,MCMC.div.sd,MCMC.div.q25,MCMC.div.q75,MCMC.turnov.mean,MCMC.turnov.median,MCMC.turnov.sd,MCMC.turnov.q25,MCMC.turnov.q75
0,1,1,1,0,0.05,1.0,0.4,0.2,0.2,2,10,3,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1,2,0,0.158113883008419,1.0,0.4,0.2,0.2,3,21,3,0.171894420075345,0.552644294336004,0.360010902310623,0.274516143499888,0.31553685015855,0.138366438958018,0.479005393125511,1172.13444266877,0.977516916089329,0.86598277933308,0.637200125878875,0.499224862033611,1.32283118912278,981.448261789743,-0.617506013778706,-0.519915831274796,0.480555256748652,-0.849514410644441,-0.275378198577698,4.26374598684059,2.76121385751257,6.19430825305484,1.87106444643472,4.52454324557105
2,3,1,3,0,0.5,1.0,0.4,0.2,0.2,96,196,124,0.319405557322228,0.0,0.348542694022248,0.346263398875668,0.042413082922349,0.318829936029932,0.373929710433868,1710.78204900892,0.0546099579939644,0.0419752854699529,0.0467445797951546,0.0185332778416927,0.0791509485232684,1431.62709481128,0.293932736028284,0.294642980216934,0.0406499569699481,0.26820771723782,0.321643845641107,0.150012105321794,0.123165656282255,0.116686913594398,0.056063900486571,0.221153550144292
3,4,1,4,0,0.792446596230557,1.0,0.4,0.2,0.2,3672,8013,5630,0.384090768630722,0.0,0.384827208951229,0.384764452795359,0.0063504257301816,0.380507585700819,0.38912844330954,4501.00000000001,0.0013621676631608,0.0009530387969744,0.0013514544077624,0.000398536762487,0.0018890826280588,1570.33177007553,0.383465041288068,0.383359391265748,0.0063445154349234,0.379202782563057,0.387767267772564,0.003534255624538,0.0024762832810582,0.0034969577084233,0.0010349408375309,0.0048819719401236
4,5,1,5,0,1.25594321575479,1.0,0.4,0.2,0.2,7801,17616,13418,0.501156194367792,0.0,0.501639914423707,0.501561107206328,0.0056344465283835,0.497832129331451,0.505371469002819,4264.63018758654,0.0007387570091385,0.0005124220037823,0.0007337343067583,0.0002059746631289,0.0010373951381573,1545.34196772133,0.500901157414568,0.500880096954041,0.0056491829200225,0.497123145879634,0.504664084005545,0.0014721291250149,0.0010266956428655,0.0014607590027615,0.0004081977174495,0.0020704829123451
5,6,2,1,0,0.5,0.1,0.4,0.2,0.2,29,214,125,0.128972708914863,0.0,0.150111414682148,0.147265344272601,0.0321765347048311,0.127046125985701,0.169424791497415,1678.87229412375,0.0330446446318852,0.0230179165343486,0.0321143856290178,0.0096958911691674,0.0462519181066104,1044.62567730312,0.117066770050263,0.117193963514796,0.0304601639089646,0.0972639736918848,0.137819628884158,0.207592817301694,0.163235529821227,0.174006561217326,0.0711917146949844,0.299981007410887
6,7,2,2,0,0.5,0.316227766016838,0.4,0.2,0.2,172,567,307,0.208451026666283,0.0,0.21605026861315,0.215644246091315,0.0175297630334925,0.204094608509944,0.227379783511419,2950.72872729514,0.012507132483679,0.0087071889960984,0.0123962583137193,0.0036547089812465,0.0175866974952547,1548.15110724238,0.203543136129471,0.203601308977462,0.0171646826045256,0.192111554039357,0.215065607335226,0.0565670456097392,0.0407645462908735,0.0532643874622551,0.0173175498901358,0.0806730665801007
7,8,2,3,0,0.5,1.0,0.4,0.2,0.2,85,181,115,0.264568831065218,0.0,0.292069035848674,0.28794055358906,0.0384974065200591,0.265375512277458,0.313619276857608,1589.68216942042,0.0510142101117522,0.0392911775451077,0.044970515033272,0.0174903809889666,0.0728281895138688,1316.14885938944,0.241054825736921,0.241876772184685,0.0362545587939312,0.218964215906152,0.265232585767509,0.16595761794731,0.137954908626136,0.129197385860199,0.0635386739260032,0.239022484285694
8,9,2,4,0,0.5,3.16227766016838,0.4,0.2,0.2,74,133,87,0.320905908657526,0.0,0.37022092136029,0.363654834947358,0.0574823087875419,0.330449301393333,0.403941805700943,1237.86628691584,0.0879249099498431,0.0703937994162348,0.0726088405845615,0.0322916381162589,0.12697437048096,879.795469766316,0.282296011410447,0.284314089317103,0.052326530055131,0.249637315749046,0.318285960454961,0.223704768247143,0.196760066158675,0.159011725596076,0.0956240212832638,0.32533613313189
9,10,2,5,0,0.5,10.0,0.4,0.2,0.2,366,614,382,0.362133857853056,0.0,0.384665711516395,0.383125523554999,0.0265213358754736,0.366824800353774,0.400603864180807,1616.47690946632,0.0422202475519139,0.0339851487995309,0.0338776499742059,0.0153104132724739,0.0616330717349149,1289.82572429921,0.342445463964481,0.343214960878102,0.0251922183860568,0.326986635319095,0.359548934425127,0.106330486723691,0.0886362509510946,0.079850177923835,0.0415605077258328,0.156340253256365
10,11,3,1,0,0.5,1.0,0.04,0.2,0.2,37,88,49,0.270928901605687,0.0770697645984784,0.326204349252813,0.312244133317235,0.0857391139150748,0.26564907564866,0.371526502629193,662.486304974378,0.161992781956135,0.139732154120216,0.118043288133697,0.0713007852456651,0.230332153671894,615.082721751288,0.164211567296679,0.167131312432512,0.0657399191207573,0.122717797651429,0.210158358103929,0.456740882498434,0.45529830917452,0.250084273695699,0.261159718431549,0.642308679218902
11,12,3,2,0,0.5,1.0,0.126491106406735,0.2,0.2,46,135,70,0.184773118475364,0.0,0.223841878098039,0.218283617615418,0.0447524987599966,0.192412341750943,0.246990356470861,1084.17528908635,0.0673412014408781,0.0521405443228352,0.0572508167198534,0.0234749566258474,0.0964526925548072,1017.13406194576,0.156500676657161,0.158498586490978,0.0392759240411575,0.131120563093625,0.183480493085015,0.279292749533393,0.246428978362173,0.195933582022051,0.117981040269808,0.412902858280394
12,13,3,3,0,0.5,1.0,0.4,0.2,0.2,130,299,189,0.277023100100009,0.0,0.30118342803047,0.298389063479438,0.0333185187433833,0.277383434973376,0.320950208353692,1544.14766087595,0.0434663426318047,0.0324997337970733,0.0389090942517023,0.0142943709294703,0.0612275342570517,1196.30103476491,0.257717085398665,0.258621255115586,0.0310835017904522,0.237854716464333,0.278530562153774,0.137568658392228,0.110950054311672,0.11067283137202,0.050493216444186,0.199148253213315
13,14,3,4,0,0.5,1.0,0.633957276984445,0.2,0.2,933,2165,1389,0.322629984680832,0.0,0.325575205365753,0.325452963508236,0.0108748345825106,0.318176862120799,0.332965196026851,3655.60043468616,0.0051446393654937,0.0035541280323683,0.0051562807788101,0.0014336115494776,0.007122986957914,1478.28899767296,0.32043056600026,0.320465594511087,0.0108526195760481,0.313174773993393,0.327871839044706,0.0156933397793288,0.0108488699772898,0.0155197365551632,0.0044387962366787,0.0218248668165231
