"","param_vary","i_param_var","replicate","PBD.l1","PBD.l2","PBD.l3","PBD.mu1","PBD.mu2","gamma","B2","SR","equiv_birth","equiv_death"
"1",1,1,0,0.05,1,0.4,0.2,0.2,NA,1,2,0.0435414346693485,0.2
"2",1,2,0,0.158113883008419,1,0.4,0.2,0.2,1.06272280095078,2.5,7,0.137690106146562,0.2
"3",1,3,0,0.5,1,0.4,0.2,0.2,2.52544064304624,2.7421875,21,0.435414346693485,0.2
"4",1,4,0,0.792446596230557,1,0.4,0.2,0.2,7.32120361097827,9.57165540009737,4752,0.690085233974408,0.2
"5",1,5,0,1.25594321575479,1,0.4,0.2,0.2,NA,NA,NA,1.09371138954397,0.2
"6",2,1,0,0.5,0.1,0.4,0.2,0.2,0.912494406180206,3.375,11,0.320194101601104,0.2
"7",2,2,0,0.5,0.316227766016838,0.4,0.2,0.2,2.49721385964866,3.921875,21,0.377823255715264,0.2
"8",2,3,0,0.5,1,0.4,0.2,0.2,0.601707794019253,5.3634033203125,132,0.435414346693485,0.2
"9",2,4,0,0.5,3.16227766016838,0.4,0.2,0.2,1.76731997078249,5.1707763671875,70,0.473268410417969,0.2
"10",2,5,0,0.5,10,0.4,0.2,0.2,1.35303587477742,6.75173950195312,258,0.490559311199621,0.2
"11",3,1,0,0.5,1,0.04,0.2,0.2,0.903523410958607,2.125,6,0.418930825088984,0.2
"12",3,2,0,0.5,1,0.126491106406735,0.2,0.2,2.50278646790122,6.59315490722656,284,0.423496936198415,0.2
"13",3,3,0,0.5,1,0.4,0.2,0.2,1.5111689254633,4.91748046875,83,0.435414346693485,0.2
"14",3,4,0,0.5,1,0.633957276984445,0.2,0.2,3.08667003611905,4.765869140625,79,0.443246258916346,0.2
"15",3,5,0,0.5,1,1.00475457260383,0.2,0.2,2.7279026429845,6.19610595703125,177,0.452595274640258,0.2
"16",4,1,0,0.5,1,0.4,0.02,0.2,2.06137362803518,5.527587890625,113,0.435414346693485,0.02
"17",4,2,0,0.5,1,0.4,0.0632455532033676,0.2,2.08401562618591,6.82653045654297,413,0.435414346693485,0.0632455532033676
"18",4,3,0,0.5,1,0.4,0.2,0.2,1.52285306751612,5.0068359375,154,0.435414346693485,0.2
"19",4,4,0,0.5,1,0.4,0.632455532033676,0.2,1.91448944999706,1.875,5,0.435414346693485,0.632455532033676
"20",4,5,0,0.5,1,0.4,2,0.2,NA,1,2,0.435414346693485,2
"21",5,1,0,0.5,1,0.4,0.2,0.02,1.58123606464247,5.323974609375,101,0.492929582647017,0.2
"22",5,2,0,0.5,1,0.4,0.2,0.0632455532033676,2.54155664496407,7.32757568359375,353,0.478127035624279,0.2
"23",5,3,0,0.5,1,0.4,0.2,0.2,1.31699060097539,4.96286010742188,70,0.435414346693485,0.2
"24",5,4,0,0.5,1,0.4,0.2,0.632455532033676,2.33737219367072,3.828125,23,0.333499026115567,0.2
"25",5,5,0,0.5,1,0.4,0.2,2,-0.786788331733012,1.75,4,0.18210403685012,0.2
"26",1,1,1,0.05,1,0.4,0.2,0.2,NA,1,2,0.0435414346693485,0.2
"27",1,2,1,0.158113883008419,1,0.4,0.2,0.2,-0.00649032278629484,1.5,3,0.137690106146562,0.2
"28",1,3,1,0.5,1,0.4,0.2,0.2,4.23423630265558,5.50457000732422,160,0.435414346693485,0.2
"29",1,4,1,0.792446596230557,1,0.4,0.2,0.2,5.17192257382823,8.2763557434082,1545,0.690085233974408,0.2
"30",1,5,1,1.25594321575479,1,0.4,0.2,0.2,NA,NA,NA,1.09371138954397,0.2
"31",2,1,1,0.5,0.1,0.4,0.2,0.2,0.359994873729967,4.375,27,0.320194101601104,0.2
"32",2,2,1,0.5,0.316227766016838,0.4,0.2,0.2,0.539238179303688,5.287109375,64,0.377823255715264,0.2
"33",2,3,1,0.5,1,0.4,0.2,0.2,2.73166343575007,5.51953125,97,0.435414346693485,0.2
"34",2,4,1,0.5,3.16227766016838,0.4,0.2,0.2,1.83232100252553,3.109375,18,0.473268410417969,0.2
"35",2,5,1,0.5,10,0.4,0.2,0.2,1.50255771908432,5.56781005859375,172,0.490559311199621,0.2
"36",3,1,1,0.5,1,0.04,0.2,0.2,2.23246066462339,3.712890625,52,0.418930825088984,0.2
"37",3,2,1,0.5,1,0.126491106406735,0.2,0.2,2.04148712284601,4.82861328125,97,0.423496936198415,0.2
"38",3,3,1,0.5,1,0.4,0.2,0.2,3.41661949896091,5.09375,62,0.435414346693485,0.2
"39",3,4,1,0.5,1,0.633957276984445,0.2,0.2,0.360644487877554,6.44462585449219,346,0.443246258916346,0.2
"40",3,5,1,0.5,1,1.00475457260383,0.2,0.2,2.21577250637903,4.4921875,40,0.452595274640258,0.2
"41",4,1,1,0.5,1,0.4,0.02,0.2,0.030890216672444,6.6722412109375,407,0.435414346693485,0.02
"42",4,2,1,0.5,1,0.4,0.0632455532033676,0.2,0.196384436934648,7.54916286468506,571,0.435414346693485,0.0632455532033676
"43",4,3,1,0.5,1,0.4,0.2,0.2,1.29025684568024,4.3203125,29,0.435414346693485,0.2
"44",4,4,1,0.5,1,0.4,0.632455532033676,0.2,1.71951230539586,2.21875,10,0.435414346693485,0.632455532033676
"45",4,5,1,0.5,1,0.4,2,0.2,1.50834170130753,1.5,3,0.435414346693485,2
"46",5,1,1,0.5,1,0.4,0.2,0.02,1.6319388592465,6.21966552734375,180,0.492929582647017,0.2
"47",5,2,1,0.5,1,0.4,0.2,0.0632455532033676,2.08719084186915,4.9384765625,75,0.478127035624279,0.2
"48",5,3,1,0.5,1,0.4,0.2,0.2,-0.203550958472749,5.7001953125,107,0.435414346693485,0.2
"49",5,4,1,0.5,1,0.4,0.2,0.632455532033676,0.117800107222494,4.8828125,49,0.333499026115567,0.2
"50",5,5,1,0.5,1,0.4,0.2,2,-1.12298029859125,2.25,5,0.18210403685012,0.2
