"","param_vary","i_param_var","replicate","gamma"
"1",1,1,0,NA
"2",1,1,1,NA
"3",1,1,2,NA
"4",1,1,3,NA
"5",1,1,4,NA
"6",1,1,5,-0.928862043188852
"7",1,1,6,0.157726421153595
"8",1,1,7,1.14224810821819
"9",1,1,8,NA
"10",1,1,9,NA
"11",1,1,10,NA
"12",1,1,11,1.24131345596411
"13",1,1,12,-0.33070669678614
"14",1,1,13,NA
"15",1,1,14,NA
"16",1,1,15,-0.542233001311731
"17",1,1,16,NA
"18",1,1,17,NA
"19",1,1,18,NA
"20",1,1,19,-0.465337248574552
"21",1,1,20,-1.17026521196626
"22",1,1,21,0.848189367800152
"23",1,1,22,NA
"24",1,1,23,0.787811763317317
"25",1,1,24,1.33182859909831
"26",1,1,25,NA
"27",1,1,26,0.255217238370966
"28",1,1,27,NA
"29",1,1,28,-1.06382627122228
"30",1,1,29,NA
"31",1,1,30,0.781918890410287
"32",1,1,31,NA
"33",1,1,32,0.103129306439204
"34",1,1,33,1.223523828255
"35",1,1,34,NA
"36",1,1,35,NA
"37",1,1,36,NA
"38",1,1,37,-0.745749647720157
"39",1,1,38,1.60975420405328
"40",1,1,39,NA
"41",1,1,40,NA
"42",1,1,41,NA
"43",1,1,42,NA
"44",1,1,43,0.458044731821512
"45",1,1,44,1.21483567779419
"46",1,1,45,-0.34836712125708
"47",1,1,46,1.11183702531723
"48",1,1,47,0.26295920036677
"49",1,1,48,NA
"50",1,1,49,NA
"51",1,1,50,NA
"52",1,1,51,-2.45683680770887
"53",1,1,52,0.0254412500509516
"54",1,1,53,1.09967628623613
"55",1,1,54,-0.00779784776324984
"56",1,1,55,NA
"57",1,1,56,NA
"58",1,1,57,-0.267853525097557
"59",1,1,58,-1.55151690663888
"60",1,1,59,NA
"61",1,1,60,NA
"62",1,1,61,NA
"63",1,1,62,NA
"64",1,1,63,1.44709569474146
"65",1,1,64,0.791901012042101
"66",1,1,65,-1.36566989332882
"67",1,1,66,1.542520704657
"68",1,1,67,0.0592473799265711
"69",1,1,68,NA
"70",1,1,69,NA
"71",1,1,70,NA
"72",1,1,71,-1.4071698157301
"73",1,1,72,-2.2129809775806
"74",1,1,73,NA
