"","param_vary","i_param_var","replicate","PBD.l1","PBD.l2","PBD.l3","PBD.mu1","PBD.mu2","gamma","stairs2","SR","equiv_birth","equiv_death"
"1",1,1,0,0.05,1,0.4,0.2,0.2,NA,1,2,0.0435414346693485,0.2
"2",1,2,0,0.158113883008419,1,0.4,0.2,0.2,1.06272280095079,0.775,7,0.137690106146562,0.2
"3",1,3,0,0.5,1,0.4,0.2,0.2,2.52544064304632,0.591155780494016,21,0.435414346693485,0.2
"4",1,4,0,0.792446596230557,1,0.4,0.2,0.2,7.32120361098172,0.646475172441125,4752,0.690085233974408,0.2
"5",1,5,0,1.25594321575479,1,0.4,0.2,0.2,NA,NA,NA,1.09371138954397,0.2
"6",2,1,0,0.5,0.1,0.4,0.2,0.2,0.912494406180217,0.8,11,0.320194101601104,0.2
"7",2,2,0,0.5,0.316227766016838,0.4,0.2,0.2,2.49721385964869,0.671764901764902,21,0.377823255715264,0.2
"8",2,3,0,0.5,1,0.4,0.2,0.2,0.601707794019521,0.628238754089563,132,0.435414346693485,0.2
"9",2,4,0,0.5,3.16227766016838,0.4,0.2,0.2,1.76731997078271,0.623881624437368,70,0.473268410417969,0.2
"10",2,5,0,0.5,10,0.4,0.2,0.2,1.35303587477783,0.659314204493073,258,0.490559311199621,0.2
"11",3,1,0,0.5,1,0.04,0.2,0.2,0.90352341095861,0.673333333333333,6,0.418930825088984,0.2
"12",3,2,0,0.5,1,0.126491106406735,0.2,0.2,2.50278646790155,0.634509480044911,284,0.423496936198415,0.2
"13",3,3,0,0.5,1,0.4,0.2,0.2,1.51116892546345,0.637450307981787,83,0.435414346693485,0.2
"14",3,4,0,0.5,1,0.633957276984445,0.2,0.2,3.08667003611924,0.646771498322056,79,0.443246258916346,0.2
"15",3,5,0,0.5,1,1.00475457260383,0.2,0.2,2.72790264298474,0.641549928361243,177,0.452595274640258,0.2
"16",4,1,0,0.5,1,0.4,0.02,0.2,2.06137362803544,0.666891515140901,113,0.435414346693485,0.02
"17",4,2,0,0.5,1,0.4,0.0632455532033676,0.2,2.08401562618643,0.639024770296061,413,0.435414346693485,0.0632455532033676
"18",4,3,0,0.5,1,0.4,0.2,0.2,1.5228530675164,0.608389391732337,154,0.435414346693485,0.2
"19",4,4,0,0.5,1,0.4,0.632455532033676,0.2,1.91448944999708,0.520833333333333,5,0.435414346693485,0.632455532033676
"20",4,5,0,0.5,1,0.4,2,0.2,NA,1,2,0.435414346693485,2
"21",5,1,0,0.5,1,0.4,0.2,0.02,1.58123606464274,0.604639956817376,101,0.492929582647017,0.2
"22",5,2,0,0.5,1,0.4,0.2,0.0632455532033676,2.54155664496443,0.643331421645308,353,0.478127035624279,0.2
"23",5,3,0,0.5,1,0.4,0.2,0.2,1.31699060097548,0.652895556469056,70,0.435414346693485,0.2
"24",5,4,0,0.5,1,0.4,0.2,0.632455532033676,2.33737219367078,0.744742538163591,23,0.333499026115567,0.2
"25",5,5,0,0.5,1,0.4,0.2,2,-0.786788331733011,0.611111111111111,4,0.18210403685012,0.2
"26",1,1,1,0.05,1,0.4,0.2,0.2,NA,1,2,0.0435414346693485,0.2
"27",1,2,1,0.158113883008419,1,0.4,0.2,0.2,-0.00649032278629347,0.75,3,0.137690106146562,0.2
"28",1,3,1,0.5,1,0.4,0.2,0.2,4.23423630265584,0.623638946302015,160,0.435414346693485,0.2
"29",1,4,1,0.792446596230557,1,0.4,0.2,0.2,5.17192257383009,0.647533904006011,1545,0.690085233974408,0.2
"30",1,5,1,1.25594321575479,1,0.4,0.2,0.2,NA,NA,NA,1.09371138954397,0.2
"31",2,1,1,0.5,0.1,0.4,0.2,0.2,0.359994873730001,0.649725274725275,27,0.320194101601104,0.2
"32",2,2,1,0.5,0.316227766016838,0.4,0.2,0.2,0.539238179303828,0.648189376760805,64,0.377823255715264,0.2
"33",2,3,1,0.5,1,0.4,0.2,0.2,2.73166343575029,0.654061166889328,97,0.435414346693485,0.2
"34",2,4,1,0.5,3.16227766016838,0.4,0.2,0.2,1.83232100252559,0.657620320855615,18,0.473268410417969,0.2
"35",2,5,1,0.5,10,0.4,0.2,0.2,1.50255771908473,0.63852829092254,172,0.490559311199621,0.2
"36",3,1,1,0.5,1,0.04,0.2,0.2,2.2324606646235,0.593151704089248,52,0.418930825088984,0.2
"37",3,2,1,0.5,1,0.126491106406735,0.2,0.2,2.04148712284617,0.64775075481327,97,0.423496936198415,0.2
"38",3,3,1,0.5,1,0.4,0.2,0.2,3.41661949896106,0.613109755628661,62,0.435414346693485,0.2
"39",3,4,1,0.5,1,0.633957276984445,0.2,0.2,0.360644487878077,0.65050302116262,346,0.443246258916346,0.2
"40",3,5,1,0.5,1,1.00475457260383,0.2,0.2,2.21577250637916,0.673746125669203,40,0.452595274640258,0.2
"41",4,1,1,0.5,1,0.4,0.02,0.2,0.0308902166730059,0.680368991073315,407,0.435414346693485,0.02
"42",4,2,1,0.5,1,0.4,0.0632455532033676,0.2,0.196384436935263,0.634853683520791,571,0.435414346693485,0.0632455532033676
"43",4,3,1,0.5,1,0.4,0.2,0.2,1.29025684568032,0.644751082251082,29,0.435414346693485,0.2
"44",4,4,1,0.5,1,0.4,0.632455532033676,0.2,1.71951230539592,0.61141975308642,10,0.435414346693485,0.632455532033676
"45",4,5,1,0.5,1,0.4,2,0.2,1.50834170130754,0.75,3,0.435414346693485,2
"46",5,1,1,0.5,1,0.4,0.2,0.02,1.63193885924684,0.661471653653424,180,0.492929582647017,0.2
"47",5,2,1,0.5,1,0.4,0.2,0.0632455532033676,2.08719084186929,0.667305879070585,75,0.478127035624279,0.2
"48",5,3,1,0.5,1,0.4,0.2,0.2,-0.203550958472594,0.648527476083211,107,0.435414346693485,0.2
"49",5,4,1,0.5,1,0.4,0.2,0.632455532033676,0.117800107222554,0.627770047997475,49,0.333499026115567,0.2
"50",5,5,1,0.5,1,0.4,0.2,2,-1.12298029859125,0.791666666666667,5,0.18210403685012,0.2
"51",1,1,2,0.05,1,0.4,0.2,0.2,NA,1,2,0.0435414346693485,0.2
"52",1,2,2,0.158113883008419,1,0.4,0.2,0.2,1.65983528580359,0.791666666666667,5,0.137690106146562,0.2
"53",1,3,2,0.5,1,0.4,0.2,0.2,2.32314285819434,0.656177727846829,163,0.435414346693485,0.2
"54",1,4,2,0.792446596230557,1,0.4,0.2,0.2,7.87729779817748,0.645200381326473,7054,0.690085233974408,0.2
"55",1,5,2,1.25594321575479,1,0.4,0.2,0.2,NA,NA,NA,1.09371138954397,0.2
"56",2,1,2,0.5,0.1,0.4,0.2,0.2,-0.587934606636061,0.541774891774892,12,0.320194101601104,0.2
"57",2,2,2,0.5,0.316227766016838,0.4,0.2,0.2,1.08506000564545,0.678615017398143,47,0.377823255715264,0.2
"58",2,3,2,0.5,1,0.4,0.2,0.2,-0.74853272767913,0.628770315903752,72,0.435414346693485,0.2
"59",2,4,2,0.5,3.16227766016838,0.4,0.2,0.2,3.11903577430049,0.64899620592136,369,0.473268410417969,0.2
"60",2,5,2,0.5,10,0.4,0.2,0.2,3.60207545247414,0.652706745081198,504,0.490559311199621,0.2
"61",3,1,2,0.5,1,0.04,0.2,0.2,1.56389437592982,0.688974593782286,53,0.418930825088984,0.2
"62",3,2,2,0.5,1,0.126491106406735,0.2,0.2,1.86837583229975,0.64397557504342,92,0.423496936198415,0.2
"63",3,3,2,0.5,1,0.4,0.2,0.2,2.4453432092174,0.643046942130235,72,0.435414346693485,0.2
"64",3,4,2,0.5,1,0.633957276984445,0.2,0.2,2.61434591513502,0.619508168461657,148,0.443246258916346,0.2
"65",3,5,2,0.5,1,1.00475457260383,0.2,0.2,3.90811845051663,0.618768490059832,144,0.452595274640258,0.2
"66",4,1,2,0.5,1,0.4,0.02,0.2,0.853330674046455,0.648866883720615,1088,0.435414346693485,0.02
"67",4,2,2,0.5,1,0.4,0.0632455532033676,0.2,0.649722696219535,0.6310962559955,317,0.435414346693485,0.0632455532033676
"68",4,3,2,0.5,1,0.4,0.2,0.2,0.549608904246104,0.652867458935492,213,0.435414346693485,0.2
"69",4,4,2,0.5,1,0.4,0.632455532033676,0.2,NA,1,2,0.435414346693485,0.632455532033676
"70",4,5,2,0.5,1,0.4,2,0.2,NA,1,2,0.435414346693485,2
"71",5,1,2,0.5,1,0.4,0.2,0.02,1.97597541470954,0.661919252334008,231,0.492929582647017,0.2
"72",5,2,2,0.5,1,0.4,0.2,0.0632455532033676,1.90482175749443,0.566344029494186,99,0.478127035624279,0.2
"73",5,3,2,0.5,1,0.4,0.2,0.2,2.43674113147842,0.655436277558919,54,0.435414346693485,0.2
"74",5,4,2,0.5,1,0.4,0.2,0.632455532033676,0.407359481142217,0.75,20,0.333499026115567,0.2
"75",5,5,2,0.5,1,0.4,0.2,2,1.57697433844304,1,4,0.18210403685012,0.2
"76",1,1,3,0.05,1,0.4,0.2,0.2,NA,1,2,0.0435414346693485,0.2
"77",1,2,3,0.158113883008419,1,0.4,0.2,0.2,-1.52970157432638,0.75,3,0.137690106146562,0.2
"78",1,3,3,0.5,1,0.4,0.2,0.2,-0.215329836799374,0.617333678115412,112,0.435414346693485,0.2
"79",1,4,3,0.792446596230557,1,0.4,0.2,0.2,9.32277078353813,0.645621130558489,8802,0.690085233974408,0.2
"80",1,5,3,1.25594321575479,1,0.4,0.2,0.2,NA,NA,NA,1.09371138954397,0.2
"81",2,1,3,0.5,0.1,0.4,0.2,0.2,2.2418507981259,0.638518518518519,16,0.320194101601104,0.2
"82",2,2,3,0.5,0.316227766016838,0.4,0.2,0.2,1.4107241963818,0.633485843325214,146,0.377823255715264,0.2
"83",2,3,3,0.5,1,0.4,0.2,0.2,1.95646151122997,0.624109531939258,94,0.435414346693485,0.2
"84",2,4,3,0.5,3.16227766016838,0.4,0.2,0.2,2.10403784807446,0.649356156212499,135,0.473268410417969,0.2
