,Unnamed: 0,param_vary,i_param_var,replicate,PBD.l1,PBD.l2,PBD.l3,PBD.mu1,PBD.mu2,SR,PBD.LR.all,PBD.LR.extant
0,1,1,1,0,0.315478672240097,1.0,0.315478672240097,0.2,0.2,11,25,15
1,2,1,2,0,0.397164117362141,1.0,0.397164117362141,0.2,0.2,52,118,66
2,3,1,3,0,0.5,1.0,0.5,0.2,0.2,165,353,236
3,4,1,4,0,0.629462705897084,1.0,0.629462705897084,0.2,0.2,382,848,583
4,5,1,5,0,0.792446596230557,1.0,0.792446596230557,0.2,0.2,835,1926,1410
5,6,2,1,0,0.5,0.1,0.5,0.2,0.2,69,620,376
6,7,2,2,0,0.5,0.316227766016838,0.5,0.2,0.2,61,228,137
7,8,2,3,0,0.5,1.0,0.5,0.2,0.2,86,212,119
8,9,2,4,0,0.5,3.16227766016838,0.5,0.2,0.2,140,256,163
9,10,2,5,0,0.5,10.0,0.5,0.2,0.2,17,33,18
10,11,3,1,0,0.5,1.0,0.5,0.0126191468896039,0.0126191468896039,1102,1617,1581
11,12,3,2,0,0.5,1.0,0.5,0.0316978638492223,0.0316978638492223,296,496,459
12,13,3,3,0,0.5,1.0,0.5,0.0796214341106995,0.0796214341106995,348,596,490
13,14,3,4,0,0.5,1.0,0.5,0.2,0.2,54,109,78
14,15,3,5,0,0.5,1.0,0.5,0.502377286301916,0.502377286301916,6,45,9
15,1,1,1,1,0.315478672240097,1.0,0.315478672240097,0.2,0.2,22,61,31
16,2,1,2,1,0.397164117362141,1.0,0.397164117362141,0.2,0.2,45,89,53
17,3,1,3,1,0.5,1.0,0.5,0.2,0.2,62,136,86
18,4,1,4,1,0.629462705897084,1.0,0.629462705897084,0.2,0.2,645,1518,1048
19,5,1,5,1,0.792446596230557,1.0,0.792446596230557,0.2,0.2,21591,48765,36501
20,6,2,1,1,0.5,0.1,0.5,0.2,0.2,3,28,8
21,7,2,2,1,0.5,0.316227766016838,0.5,0.2,0.2,5,15,6
22,8,2,3,1,0.5,1.0,0.5,0.2,0.2,6,22,9
23,9,2,4,1,0.5,3.16227766016838,0.5,0.2,0.2,186,354,225
24,10,2,5,1,0.5,10.0,0.5,0.2,0.2,87,159,90
25,11,3,1,1,0.5,1.0,0.5,0.0126191468896039,0.0126191468896039,319,516,505
26,12,3,2,1,0.5,1.0,0.5,0.0316978638492223,0.0316978638492223,1169,1884,1765
27,13,3,3,1,0.5,1.0,0.5,0.0796214341106995,0.0796214341106995,398,638,552
28,14,3,4,1,0.5,1.0,0.5,0.2,0.2,84,195,115
29,15,3,5,1,0.5,1.0,0.5,0.502377286301916,0.502377286301916,13,69,19
30,1,1,1,2,0.315478672240097,1.0,0.315478672240097,0.2,0.2,2,16,2
31,2,1,2,2,0.397164117362141,1.0,0.397164117362141,0.2,0.2,37,109,48
32,3,1,3,2,0.5,1.0,0.5,0.2,0.2,46,97,59
