"","param_vary","i_param_var","replicate","gamma","stairs2","SR"
"1",1,1,0,NA,1,2
"2",1,1,1,NA,1,2
"3",1,1,2,NA,1,2
"4",1,1,3,-1.55319530900417,0.75,3
"5",1,1,4,NA,1,2
"6",1,1,5,NA,1,2
"7",1,1,6,NA,1,2
"8",1,1,7,0.81010822483449,0.75,3
"9",1,1,8,NA,1,2
"10",1,1,9,0.297529560434357,0.542239858906525,10
"11",1,1,10,0.0876109455318299,0.75,3
"12",1,1,11,1.27622183935139,0.791666666666667,5
"13",1,1,12,-0.657896145207183,1,4
"14",1,1,13,NA,1,2
"15",1,1,14,NA,1,2
"16",1,1,15,NA,1,2
"17",1,1,16,NA,1,2
"18",1,1,17,NA,1,2
"19",1,1,18,NA,1,2
"20",1,1,19,NA,1,2
"21",1,1,20,NA,1,2
"22",1,1,21,NA,1,2
"23",1,1,22,-0.174962723229742,0.75,3
"24",1,1,23,NA,1,2
"25",1,1,24,NA,1,2
"26",1,1,25,NA,1,2
"27",1,1,26,-2.99668447345333,0.672789115646259,8
"28",1,1,27,-0.328049646842406,0.611111111111111,4
"29",1,1,28,NA,1,2
"30",1,1,29,NA,1,2
"31",1,1,30,NA,1,2
"32",1,1,31,NA,1,2
"33",1,1,32,-1.43927357262587,0.611111111111111,4
"34",1,1,33,0.719395053887318,0.75,3
"35",1,1,34,NA,1,2
"36",1,1,35,NA,1,2
"37",1,1,36,NA,1,2
"38",1,1,37,NA,1,2
"39",1,1,38,NA,1,2
"40",1,1,39,1.32579846968674,0.75,3
"41",1,1,40,-1.30596339148378,0.75,3
"42",1,1,41,NA,1,2
"43",1,1,42,-0.838641690534668,0.611111111111111,4
"44",1,1,43,NA,1,2
"45",1,1,44,-0.147894342591408,0.75,3
"46",1,1,45,NA,1,2
"47",1,1,46,NA,1,2
"48",1,1,47,-1.40923725576554,0.75,3
"49",1,1,48,NA,1,2
"50",1,1,49,-0.878424886569345,0.75,3
"51",1,1,50,NA,1,2
"52",1,1,51,NA,1,2
"53",1,1,52,-1.47231651631059,0.75,3
"54",1,1,53,NA,1,2
"55",1,1,54,NA,1,2
"56",1,1,55,NA,1,2
"57",1,1,56,NA,1,2
"58",1,1,57,NA,1,2
"59",1,1,58,NA,1,2
"60",1,1,59,NA,1,2
"61",1,1,60,NA,1,2
"62",1,1,61,-1.40418855643338,0.611111111111111,4
"63",1,1,62,NA,1,2
"64",1,1,63,NA,1,2
"65",1,1,64,NA,1,2
"66",1,1,65,NA,1,2
"67",1,1,66,1.11787637997037,0.611111111111111,4
"68",1,1,67,-1.04953972860874,0.611111111111111,4
"69",1,1,68,NA,1,2
"70",1,1,69,NA,1,2
"71",1,1,70,NA,1,2
"72",1,1,71,-0.835274058534448,0.520833333333333,5
"73",1,1,72,-1.07996661704183,0.456666666666667,6
"74",1,1,73,NA,1,2
"75",1,1,74,NA,1,2
"76",1,1,75,NA,1,2
"77",1,1,76,-1.44527914231176,0.75,3
"78",1,1,77,NA,1,2
"79",1,1,78,NA,1,2
"80",1,1,79,NA,1,2
"81",1,1,80,-2.18005987666233,0.611111111111111,4
"82",1,1,81,-0.707436987056426,0.75,3
"83",1,1,82,NA,1,2
"84",1,1,83,NA,1,2
"85",1,1,84,NA,1,2
"86",1,1,85,NA,1,2
"87",1,1,86,NA,1,2
"88",1,1,87,-1.33677549843552,0.75,3
"89",1,1,88,0.0369121513080604,0.75,3
"90",1,1,89,-0.748393738802925,0.75,3
"91",1,1,90,NA,1,2
"92",1,1,91,NA,1,2
"93",1,1,92,NA,1,2
"94",1,1,93,NA,1,2
"95",1,1,94,NA,1,2
"96",1,1,95,-0.665293695915534,0.69,6
"97",1,1,96,-1.50999431896053,0.75,3
"98",1,1,97,-0.927773403263093,0.791666666666667,5
"99",1,1,98,NA,1,2
"100",1,1,99,1.25452490413771,0.75,3
"101",1,1,100,NA,1,2
"102",1,1,101,NA,1,2
"103",1,1,102,NA,1,2
"104",1,1,103,0.190690295345455,0.520833333333333,5
