"","param_vary","i_param_var","replicate","gamma","stairs2","SR"
"1",1,1,0,NA,1,2
"2",1,2,0,0.308106549837585,0.75,3
"3",1,3,0,1.50149220078709,0.747619047619048,17
"4",1,4,0,4.21366030286321,0.644340163438233,852
"5",1,5,0,NA,NA,NA
"6",2,1,0,-0.800037003016352,0.597619047619047,8
"7",2,2,0,1.25412308308752,0.566507535674202,31
"8",2,3,0,1.04162256064641,0.575696439974451,83
"9",2,4,0,0.381844994795877,0.635320635355641,94
"10",2,5,0,2.20822347483213,0.671428571428571,8
"11",3,1,0,1.50911505878281,0.603484848484849,21
"12",3,2,0,1.54566830653477,0.604315476190476,9
"13",3,3,0,-0.325262239019132,0.669,26
"14",3,4,0,1.22221201364874,0.611111111111111,4
"15",3,5,0,1.67181971480112,0.590679067856628,49
"16",4,1,0,1.8003215498735,0.680296032989998,57
"17",4,2,0,1.14402405587703,0.680750526849598,86
"18",4,3,0,0.650964745521451,0.672183810526863,35
"19",4,4,0,NA,1,2
"20",4,5,0,NA,NA,NA
"21",5,1,0,1.21857004235361,0.626216148008911,49
"22",5,2,0,2.20025541593993,0.653109548333606,269
"23",5,3,0,1.23176419305182,0.714785185212433,63
"24",5,4,0,0.509570593539921,1,4
"25",5,5,0,-1.26082301016877,0.75,3
"26",1,1,1,NA,NA,NA
"27",1,2,1,0.211415231393933,0.611111111111111,4
"28",1,3,1,1.96252090229076,0.670265151515152,25
"29",1,4,1,5.06427245163436,0.647619468628909,3040
"30",1,5,1,NA,NA,NA
"31",2,1,1,1.98500794041229,0.875,7
"32",2,2,1,1.69279720069189,0.677569822355258,35
"33",2,3,1,0.0552437308533065,0.645609781172877,142
"34",2,4,1,1.18258877483493,0.679501662495905,166
"35",2,5,1,2.53906896169218,0.680921395290233,195
"36",3,1,1,1.767900192666,0.720238095238095,15
"37",3,2,1,1.99487359891573,0.609947964493419,34
"38",3,3,1,1.04440801268281,0.656084761870302,72
"39",3,4,1,1.41243040353562,0.616624761717325,72
"40",3,5,1,2.99389775985075,0.676705584083015,90
"41",4,1,1,1.20712038044998,0.656437001979852,192
"42",4,2,1,-0.603898703079301,0.644676525652911,691
"43",4,3,1,1.93483801152294,0.673675009201325,39
"44",4,4,1,NA,NA,NA
"45",4,5,1,NA,NA,NA
"46",5,1,1,1.24233064036386,0.598010910340421,132
