"","param_vary","i_param_var","replicate","gamma","stairs2","beta","SR"
"1",1,1,0,NA,NA,NA,NA
"2",1,2,0,NA,NA,NA,NA
"3",1,3,0,NA,NA,NA,NA
"4",1,4,0,NA,1,NA,2
"5",1,5,0,8.70771121979139,0.643327206844486,0.111103792885132,1333
"6",2,1,0,-1.67562343998231,0.75,2.27125,3
"7",2,2,0,NA,1,NA,2
"8",2,3,0,NA,1,NA,2
"9",2,4,0,1.59258397620265,0.68546626984127,2.035703125,17
"10",2,5,0,-0.0543521931825564,0.543290043290043,-1.25017578125,12
"11",3,1,0,0.491365507072942,0.643254577640138,0.0778117370605469,1293
"12",3,2,0,0.12984732709481,0.638740350507065,-0.09746826171875,368
"13",3,3,0,2.24545808758841,0.635694267868084,-0.3433203125,344
"14",3,4,0,0.943720261861955,0.75,2.27125,3
"15",3,5,0,NA,NA,NA,NA
"16",1,1,1,NA,NA,NA,NA
"17",1,2,1,NA,NA,NA,NA
"18",1,3,1,NA,NA,NA,NA
"19",1,4,1,1.37795689532653,0.456666666666667,-1.99999640168177,6
"20",1,5,1,3.38736573217999,0.633512019806722,-0.037109375,460
"21",2,1,1,NA,1,NA,2
"22",2,2,1,0.0591201716769749,0.75,2.27125,3
"23",2,3,1,1.45402172842782,0.575447401182695,-1.11326416015625,22
"24",2,4,1,0.927359953497434,0.666666666666667,9.99967852144474,9
"25",2,5,1,1.09457795304726,0.604881588999236,-0.761416015625,21
"26",3,1,1,-0.870838205730647,0.648035334064807,0.1071630859375,3499
"27",3,2,1,1.71042712825444,0.6379911960141,-0.154536661686661,1188
"28",3,3,1,2.6316458516934,0.643839028421606,0.0629991583206634,445
"29",3,4,1,NA,1,NA,2
"30",3,5,1,NA,NA,NA,NA
"31",1,1,2,NA,NA,NA,NA
"32",1,2,2,NA,NA,NA,NA
"33",1,3,2,NA,NA,NA,NA
"34",1,4,2,1.50032976611781,0.597619047619048,0.29265625,8
"35",1,5,2,6.42178282248516,0.644141347850392,-0.0426675115361376,1394
"36",2,1,2,0.666265685610879,0.8125,-0.366875,5
"37",2,2,2,NA,1,NA,2
"38",2,3,2,1.51586219141335,0.725,9.99967852144474,9
"39",2,4,2,1.112636113204,0.8125,-0.366875,5
"40",2,5,2,0.909543434313452,0.611111111111111,-1.99999640168177,4
"41",3,1,2,-0.00219510381697781,0.639263158949205,-0.0369268615039062,2475
"42",3,2,2,1.86475414826994,0.629434136043958,0.0630037975311279,425
"43",3,3,2,2.58418550107834,0.64181123914277,-0.131328125,278
"44",3,4,2,0.375982210813824,0.705476190476191,6.2284375,11
"45",3,5,2,NA,NA,NA,NA
"46",1,1,3,NA,NA,NA,NA
"47",1,2,3,NA,NA,NA,NA
"48",1,3,3,NA,NA,NA,NA
"49",1,4,3,1.71761195324877,0.520833333333333,-1.99999640168177,5
"50",1,5,3,6.39168207853842,0.649278308920663,0.2367138671875,449
"51",2,1,3,NA,NA,NA,NA
"52",2,2,3,0.917634948531043,0.75,2.27125,3
"53",2,3,3,2.1191326119992,0.655787037037037,-0.9557421875,13
"54",2,4,3,0.724073762874107,0.588888888888889,-1.56445103112378,7
"55",2,5,3,1.33705375232238,0.875,9.99967852144474,7
"56",3,1,3,-0.146559172591454,0.663362384157911,0.145164929130859,732
"57",3,2,3,1.08514017989023,0.65019742696791,0.0555912017822266,4693
"58",3,3,3,1.72397880066498,0.640920957904486,-0.090107421875,268
"59",3,4,3,0.842585934369568,0.6,-0.56708984375,15
"60",3,5,3,NA,NA,NA,NA
"61",1,1,4,NA,NA,NA,NA
"62",1,2,4,NA,NA,NA,NA
"63",1,3,4,NA,1,NA,2
"64",1,4,4,2.43924054001478,0.777777777777778,-0.4375390625,7
"65",1,5,4,7.18326184265992,0.646771766010473,0.0572876453399658,1436
"66",2,1,4,0.281615167556644,0.611111111111111,-1.99999640168177,4
"67",2,2,4,0.848782928592791,0.611111111111111,-1.99999640168177,4
"68",2,3,4,1.03429061899823,0.611111111111111,-1.99999640168177,4
"69",2,4,4,1.10018905953813,0.666045548654244,0.433984375,24
"70",2,5,4,-0.914325910122572,0.605,-1.3797265625,11
"71",3,1,4,1.46988510272373,0.642264223977435,0.1719384765625,250
"72",3,2,4,-0.256933252428934,0.64973436075363,0.16310546875,206
"73",3,3,4,0.404929826685706,0.627045085691694,-0.714306640625,37
"74",3,4,4,0.875875140843778,0.742424242424242,9.99967852144474,12
"75",3,5,4,NA,NA,NA,NA
"76",1,1,5,NA,NA,NA,NA
"77",1,2,5,NA,NA,NA,NA
"78",1,3,5,NA,1,NA,2
"79",1,4,5,0.325617544548128,0.641176470588235,1.5175,18
"80",1,5,5,2.88001228738934,0.603892340602867,-0.54353515625,61
"81",2,1,5,NA,1,NA,2
"82",2,2,5,NA,1,NA,2
"83",2,3,5,1.42860673879429,0.593153840483562,-0.714306640625,20
"84",2,4,5,0.0950299236352403,0.666666666666667,9.99967852144474,8
"85",2,5,5,0.512943142793479,0.719817927170868,0.946298828125,18
"86",3,1,5,-0.689320851996314,0.642637228141314,-0.054775390625,2083
"87",3,2,5,0.406230362722252,0.649400333024309,0.13955078125,1981
"88",3,3,5,0.593943637528279,0.621416798850358,-0.26101692199707,220
"89",3,4,5,NA,1,NA,2
"90",3,5,5,NA,NA,NA,NA
"91",1,1,6,NA,NA,NA,NA
"92",1,2,6,NA,NA,NA,NA
"93",1,3,6,NA,NA,NA,NA
"94",1,4,6,1.89970206934544,0.8,9.99967852144474,6
"95",1,5,6,6.38089039259428,0.636714105267534,0.0571983704980469,1373
"96",2,1,6,0.995992185840162,0.75,2.27125,3
"97",2,2,6,0.555638316577956,0.588888888888889,-1.56445103112378,7
"98",2,3,6,-0.0471031505690269,1,9.99967852144474,4
"99",2,4,6,0.705605432929532,0.75,2.27125,3
"100",2,5,6,0.0955461711059176,0.733333333333333,4.24984375,13
"101",3,1,6,0.402271811858237,0.639700306020157,-0.105018873214722,816
"102",3,2,6,0.895335861415073,0.661880940657159,0.0953872496875,422
"103",3,3,6,2.26262726445295,0.638799509921307,-0.0282763671875,402
"104",3,4,6,2.45406764913137,0.70245636716225,4.9329296875,18
"105",3,5,6,NA,NA,NA,NA
"106",1,1,7,NA,NA,NA,NA
"107",1,2,7,NA,NA,NA,NA
"108",1,3,7,0.356008402964515,0.75,2.27125,3
"109",1,4,7,0.847864498574082,0.666666666666667,6.04,6
"110",1,5,7,6.05863201561905,0.648018868737573,0.174973315498047,1163
"111",2,1,7,-1.26902576989817,0.611111111111111,-1.99999640168177,4
"112",2,2,7,NA,1,NA,2
"113",2,3,7,1.15683405651608,0.9,9.99967852144474,6
"114",2,4,7,1.48432259172389,0.725191475191475,3.68453125,14
"115",2,5,7,1.82766869422306,0.616815476190476,-1.53283203125,9
"116",3,1,7,-0.693091729790717,0.643513213940846,0.0365105247497559,899
"117",3,2,7,0.948189230718248,0.64816246348094,0.0864611199312897,690
"118",3,3,7,0.629015094360449,0.68201685119065,-0.35509765625,50
"119",3,4,7,1.55664266970876,0.520833333333333,-1.99999640168177,5
"120",3,5,7,NA,NA,NA,NA
"121",1,1,8,NA,NA,NA,NA
"122",1,2,8,NA,NA,NA,NA
"123",1,3,8,NA,NA,NA,NA
"124",1,4,8,1.47367221634827,0.75,2.27125,3
"125",1,5,8,3.52766611371184,0.64460048027928,0.1984375,536
"126",2,1,8,NA,1,NA,2
"127",2,2,8,0.950024186124886,0.673333333333333,-0.9321875,6
"128",2,3,8,-0.172877548179744,0.611111111111111,-1.99999640168177,4
"129",2,4,8,2.27922340367929,0.695833333333333,0.98751953125,17
"130",2,5,8,0.35535571920106,1,9.99967852144474,4
"131",3,1,8,-0.0252060453483008,0.649014614516345,0.24553400585968,1295
"132",3,2,8,0.211280825222198,0.641965266421854,0.174146728515625,915
"133",3,3,8,2.5990781040233,0.645015350993612,0.0806640625,40
"134",3,4,8,NA,1,NA,2
"135",3,5,8,NA,NA,NA,NA
"136",1,1,9,NA,NA,NA,NA
"137",1,2,9,NA,NA,NA,NA
"138",1,3,9,NA,NA,NA,NA
"139",1,4,9,-0.189006027812053,0.9,9.99967852144474,6
"140",1,5,9,6.966317782682,0.648856401255361,0.126988333266602,1381
"141",2,1,9,1.55042794188131,0.75,2.27125,3
"142",2,2,9,-0.847623547641174,0.75,2.27125,3
"143",2,3,9,-0.151351821777636,0.643589743589744,-0.19021484375,14
"144",2,4,9,0.886429120161545,0.520833333333333,-1.99999640168177,5
"145",2,5,9,-0.0513209857968437,0.791666666666667,9.99967852144474,5
"146",3,1,9,0.425526347375516,0.657672711799175,0.107346967261658,2793
"147",3,2,9,0.600783448763977,0.63961741961742,-0.7643603515625,16
"148",3,3,9,3.06516584704842,0.644623754713957,0.0923708908764648,692
"149",3,4,9,0.455829463911245,0.603926774979407,-1.06173828125,20
"150",3,5,9,NA,NA,NA,NA
"151",1,1,10,NA,NA,NA,NA
"152",1,2,10,NA,NA,NA,NA
"153",1,3,10,NA,NA,NA,NA
"154",1,4,10,0.894347427555232,0.761904761904762,10,8
"155",1,5,10,5.88826914455415,0.642721043374685,-0.0370532362667847,1016
"156",2,1,10,NA,NA,NA,NA
"157",2,2,10,NA,1,NA,2
"158",2,3,10,NA,1,NA,2
"159",2,4,10,0.728831068192762,0.75,2.27125,3
"160",2,5,10,-1.1234066499829,0.678571428571429,0.48109375,12
"161",3,1,10,1.58214590796395,0.6570711372869,0.128532524108887,1110
"162",3,2,10,1.1625813722953,0.65895341490945,0.4428173828125,301
"163",3,3,10,0.0591388491196641,0.625650812894321,0.14396728515625,254
"164",3,4,10,1.391928779846,0.488271604938272,-1.69694614831128,10
"165",3,5,10,NA,NA,NA,NA
"166",1,1,11,NA,NA,NA,NA
"167",1,2,11,NA,NA,NA,NA
"168",1,3,11,NA,NA,NA,NA
"169",1,4,11,NA,1,NA,2
"170",1,5,11,3.74709686326621,0.692743754797111,0.098330078125,85
"171",2,1,11,NA,NA,NA,NA
"172",2,2,11,-1.13019534781211,0.791666666666667,9.99967852144474,5
"173",2,3,11,-1.28432649170628,0.75,2.27125,3
"174",2,4,11,0.647445497499669,0.735416666666667,9.99967852144474,9
"175",2,5,11,-0.381177042167704,0.677248677248677,0.528203125,10
"176",3,1,11,0.0342371001353821,0.640707063958711,-0.137111777564697,2987
"177",3,2,11,-0.00569278792819707,0.632633923375567,-0.203820386594707,595
"178",3,3,11,2.13721841279244,0.653066616891985,0.145439453125,733
"179",3,4,11,0.95355321421476,0.673333333333333,-0.9321875,6
"180",3,5,11,NA,NA,NA,NA
"181",1,1,12,NA,NA,NA,NA
"182",1,2,12,NA,NA,NA,NA
"183",1,3,12,0.5747059614771,0.75,2.27125,3
"184",1,4,12,2.28718702570328,0.502427334570192,-1.197177734375,29
"185",1,5,12,5.86952965857793,0.641597308412914,-0.0135589306561279,897
"186",2,1,12,NA,NA,NA,NA
"187",2,2,12,0.520591739884594,0.588888888888889,-1.56445103112378,7
"188",2,3,12,-0.90519480307679,0.456666666666667,-1.99999640168177,6
"189",2,4,12,0.603691236751782,0.680555555555555,9.99967852144474,7
"190",2,5,12,2.0471756392003,0.702380952380952,0.9757421875,12
"191",3,1,12,-0.631010340560933,0.633891229064416,-0.236220092773437,387
"192",3,2,12,1.61646522756187,0.660643402652434,0.221924687126465,432
"193",3,3,12,-1.13953074798103,0.673328833931448,0.75197265625,84
"194",3,4,12,-0.62998913520476,0.680555555555556,9.99967852144474,7
"195",3,5,12,NA,NA,NA,NA
"196",1,1,13,NA,NA,NA,NA
"197",1,2,13,NA,NA,NA,NA
"198",1,3,13,NA,1,NA,2
"199",1,4,13,NA,1,NA,2
"200",1,5,13,7.01004559424128,0.65685810201624,0.183628052970581,1318
"201",2,1,13,NA,NA,NA,NA
"202",2,2,13,NA,1,NA,2
"203",2,3,13,-0.377855189550318,0.75,2.27125,3
"204",2,4,13,1.79702594416406,0.644072603567488,-0.54353515625,38
"205",2,5,13,0.506280022966978,0.666666666666667,9.99967852144474,9
"206",3,1,13,1.29305410091017,0.644261881750967,-0.157917651435547,655
"207",3,2,13,0.948011535892289,0.638445989666797,-0.0758473021777343,1236
"208",3,3,13,-0.0637447746016478,0.658735014426393,0.00997699737548828,399
"209",3,4,13,1.47327368203969,0.709895833333333,-0.037109375,17
"210",3,5,13,NA,NA,NA,NA
"211",1,1,14,NA,NA,NA,NA
"212",1,2,14,NA,NA,NA,NA
"213",1,3,14,0.723451888799458,0.75,2.27125,3
"214",1,4,14,0.815453196949879,0.680555555555556,9.99967852144474,7
"215",1,5,14,4.98227343797691,0.623025606579634,-0.240083026191406,694
"216",2,1,14,NA,1,NA,2
"217",2,2,14,0.339348049838602,0.75,2.27125,3
"218",2,3,14,1.32282828861758,0.611111111111111,-1.99999640168177,4
"219",2,4,14,3.70443337786672,0.755392156862745,2.36546875,18
"220",2,5,14,0.491011136917738,0.69859649122807,0.3839306640625,21
"221",3,1,14,0.513072938467282,0.650625824429641,0.0839806835858154,2336
"222",3,2,14,0.702357045424796,0.639567639843635,-0.1872705078125,124
"223",3,3,14,-1.15687249843858,0.60931861348528,-0.5288134765625,37
"224",3,4,14,1.43131493427369,0.666666666666667,6.04,6
"225",3,5,14,NA,NA,NA,NA
"226",1,1,15,NA,NA,NA,NA
