"","param_vary","i_param_var","replicate","gamma","stairs2","beta","SR"
"1",1,1,0,NA,1,NA,2
"2",1,2,0,-1.94972726808766,0.791666666666667,9.99967852144474,5
"3",1,3,0,-0.399353307157239,0.647871159250271,0.10421875,100
"4",1,4,0,-10.7934027737267,0.649807457581436,0.0451250076293945,1767
"5",1,5,0,NA,NA,NA,NA
"6",2,1,0,-1.92342992031391,0.520833333333333,-1.99999640168177,5
"7",2,2,0,0.431096972304249,0.833333333333333,6.416875,8
"8",2,3,0,-0.899511640967425,0.611111111111111,-1.99999640168177,4
"9",2,4,0,-1.14592950724485,0.637576372495401,0.086552734375,40
"10",2,5,0,1.85704543502455,0.637228604976702,-0.0930517578125,114
"11",3,1,0,-0.960634695306694,0.562851891698046,-1.1176806640625,14
"12",3,2,0,-2.12698811680843,0.648937843483989,-0.51998046875,51
"13",3,3,0,-1.41530843928854,0.645577707247563,0.0777197265625,56
"14",3,4,0,-2.74282154446301,0.645520613053515,-0.33890380859375,271
"15",3,5,0,-0.5883510767833,0.800146627565982,9.99967852144474,32
"16",4,1,0,-2.59549895902679,0.674416175428601,1.50572265625,54
"17",4,2,0,-2.27483972654712,0.603378762603379,-0.569131071898428,93
"18",4,3,0,-0.0934059250483896,0.8125,-0.366875,5
"19",4,4,0,0.877249084077722,1,9.99967852144474,4
"20",4,5,0,NA,NA,NA,NA
"21",5,1,0,-1.17934534854936,0.645600069601954,0.263212890625,111
"22",5,2,0,-1.17760639648552,0.725146198830409,0.687197265625,20
"23",5,3,0,0.554469015821816,0.685384159323039,0.6930859375,32
"24",5,4,0,0.632888420917439,0.75,2.27125,3
"25",5,5,0,-0.0949330317632721,0.611111111111111,-1.99999640168177,4
"26",1,1,1,NA,1,NA,2
"27",1,2,1,NA,1,NA,2
"28",1,3,1,-1.47154799352175,0.672177666388193,9.90142996900245,46
"29",1,4,1,-5.25112942629457,0.64537976695872,0.159793090820312,429
"30",1,5,1,NA,NA,NA,NA
"31",2,1,1,-0.475204546143824,0.75,2.27125,3
"32",2,2,1,NA,1,NA,2
"33",2,3,1,-0.600664167799464,0.62583594935852,-0.231435546875,184
