"","param_vary","i_param_var","replicate","gamma","stairs2","beta","SR"
"1",1,1,0,NA,NA,NA,NA
"2",1,2,0,NA,NA,NA,NA
"3",1,3,0,NA,NA,NA,NA
"4",1,4,0,0.409884392952928,0.75,2.27125,3
"5",1,5,0,-6.19547589016508,0.660340346756142,0.3485986328125,947
"6",2,1,0,NA,1,NA,2
"7",2,2,0,-1.53563382567998,0.791666666666667,9.99967852144474,5
"8",2,3,0,-0.172195228306076,0.614880952380952,-1.114736328125,13
"9",2,4,0,0.371321938945162,0.679012345679012,-0.46109375,10
"10",2,5,0,2.08165470459371,0.68371840136546,0.905078125,38
"11",3,1,0,-4.41649147331697,0.63399039719084,-0.2019921875,197
"12",3,2,0,-2.07145827630685,0.645885039290357,-0.3050439453125,81
"13",3,3,0,-1.96409941879001,0.615188078317422,-0.1401611328125,164
"14",3,4,0,0.91030437850593,0.75,2.27125,3
"15",3,5,0,NA,NA,NA,NA
"16",1,1,1,NA,NA,NA,NA
"17",1,2,1,NA,1,NA,2
"18",1,3,1,NA,NA,NA,NA
"19",1,4,1,-0.2642236494064,0.583333333333333,-1.420947265625,7
"20",1,5,1,-3.56821680959959,0.640820685130425,0.097593994140625,816
"21",2,1,1,0.327873385965836,0.75,2.27125,3
"22",2,2,1,-1.46010044840666,0.670995670995671,3.025,12
"23",2,3,1,1.60359432427808,0.672627372627373,2.17703125,14
"24",2,4,1,0.698750208726423,0.791666666666667,9.99967852144474,5
"25",2,5,1,-0.0980655770216461,0.602134814183994,0.057109375,62
"26",3,1,1,-3.6341763185836,0.666855948357935,0.3250439453125,372
"27",3,2,1,-1.73903287006376,0.56652642283273,-0.4875927734375,77
"28",3,3,1,-2.57633339897838,0.637965133262647,0.00981057921475209,225
"29",3,4,1,-2.05032089495976,0.630138305322129,0.4958154296875,35
"30",3,5,1,NA,NA,NA,NA
"31",1,1,2,NA,NA,NA,NA
"32",1,2,2,NA,NA,NA,NA
"33",1,3,2,-1.42617002358996,0.75,2.27125,3
"34",1,4,2,-0.715081149295196,0.671130952380952,1.7059375,9
"35",1,5,2,-1.7788213481157,0.633194235197475,-0.384541015625,439
"36",2,1,2,NA,1,NA,2
"37",2,2,2,0.424801399907751,0.75,2.27125,3
"38",2,3,2,-0.802208036700054,0.733333333333333,9.99967852144474,11
"39",2,4,2,0.769718256183698,0.701515151515151,2.93078125,12
"40",2,5,2,2.0500861484779,0.677604166666667,0.06888671875,17
"41",3,1,2,-7.30882620848911,0.656723243191216,0.0953842346875,400
"42",3,2,2,-5.83049038390739,0.64150591036617,0.0718755524365234,880
"43",3,3,2,-2.21292893735866,0.666798837245058,0.13955078125,191
"44",3,4,2,-0.651086411037708,0.75,2.27125,3
"45",3,5,2,NA,NA,NA,NA
"46",1,1,3,NA,NA,NA,NA
"47",1,2,3,NA,1,NA,2
"48",1,3,3,NA,NA,NA,NA
"49",1,4,3,0.83422438193925,0.670833333333333,1.564609375,9
"50",1,5,3,-4.92865870226071,0.649504135288524,-0.0252975273132324,1195
"51",2,1,3,-0.960957708911505,0.75,2.27125,3
"52",2,2,3,1.08695843704602,0.791666666666667,9.99967852144474,5
"53",2,3,3,0.232258779688808,0.761111111111111,9.99967852144474,7
"54",2,4,3,NA,1,NA,2
"55",2,5,3,2.35572342872401,0.669700524700525,0.528203125,38
"56",3,1,3,-6.04285895778085,0.630055610990349,-0.131328125,362
"57",3,2,3,NA,1,NA,2
"58",3,3,3,-2.18540853354043,0.652573645164418,0.9197998046875,137
"59",3,4,3,NA,1,NA,2
"60",3,5,3,NA,NA,NA,NA
"61",1,1,4,NA,NA,NA,NA
"62",1,2,4,NA,1,NA,2
"63",1,3,4,-0.604532671153832,0.761111111111111,9.99967852144474,7
"64",1,4,4,0.932832075427563,0.520833333333333,-1.99999640168177,5
"65",1,5,4,-2.88842437604057,0.64446098525688,0.0246756744384766,538
"66",2,1,4,NA,1,NA,2
"67",2,2,4,-0.334102177530327,0.775,0.999296875,7
"68",2,3,4,0.0670228296434646,0.666666666666667,1.08173828125,8
"69",2,4,4,-1.03257155843304,0.75,2.27125,3
"70",2,5,4,3.03690055885999,0.615763223595304,-0.59211669921875,64
"71",3,1,4,-2.83238497939964,0.622468058620929,-0.455205078125,131
"72",3,2,4,-1.49116367980908,0.607422088012458,-0.08569091796875,43
"73",3,3,4,-3.17755469190156,0.66588084724784,-0.08274658203125,179
"74",3,4,4,0.495157865393939,0.69,-1.4945556640625,6
"75",3,5,4,NA,NA,NA,NA
"76",1,1,5,NA,NA,NA,NA
"77",1,2,5,NA,NA,NA,NA
"78",1,3,5,NA,NA,NA,NA
"79",1,4,5,1.06708637527901,0.875,9.99967852144474,7
"80",1,5,5,-3.39860587475457,0.632516059135006,-0.0871630859375,359
"81",2,1,5,NA,1,NA,2
"82",2,2,5,NA,1,NA,2
"83",2,3,5,-0.562589834076038,0.615646258503401,-1.54089634362378,8
"84",2,4,5,NA,1,NA,2
"85",2,5,5,-1.31579816667916,0.612797619047619,-1.4238916015625,9
"86",3,1,5,-8.58942518087452,0.645819124471124,0.0158942828591919,745
"87",3,2,5,-10.5513060514566,0.624860389861024,-0.266832342842407,1566
"88",3,3,5,-0.109324320819738,0.689421245421245,1.122958984375,36
"89",3,4,5,-0.496458650220975,0.611111111111111,-1.99999640168177,4
"90",3,5,5,NA,NA,NA,NA
"91",1,1,6,NA,1,NA,2
"92",1,2,6,NA,NA,NA,NA
"93",1,3,6,NA,NA,NA,NA
"94",1,4,6,NA,1,NA,2
"95",1,5,6,-1.59756863751568,0.64539892261451,-0.1696044921875,238
"96",2,1,6,NA,1,NA,2
"97",2,2,6,-0.389644335379711,1,9.99967852144474,4
"98",2,3,6,-1.46351612053934,0.8,9.99967852144474,6
"99",2,4,6,1.57931183444089,0.704444444444444,-0.037109375,16
"100",2,5,6,1.81010166989777,0.767432598039216,9.99967852144474,33
"101",3,1,6,-6.03544187876713,0.628359381641827,-0.263980017402954,459
"102",3,2,6,-5.38682616327027,0.655780354693277,0.157216796875,309
"103",3,3,6,-2.04333129171977,0.651852182560614,1.6352734375,85
"104",3,4,6,-1.39589030264185,0.833333333333333,9.99967852144474,8
"105",3,5,6,NA,NA,NA,NA
"106",1,1,7,NA,NA,NA,NA
"107",1,2,7,NA,NA,NA,NA
"108",1,3,7,NA,NA,NA,NA
"109",1,4,7,-0.0214653907144798,0.611111111111111,-1.99999640168177,4
"110",1,5,7,-4.04687827830943,0.618721680075017,-0.412464694282227,752
"111",2,1,7,NA,1,NA,2
"112",2,2,7,NA,1,NA,2
"113",2,3,7,0.077867902896028,0.520833333333333,-1.99999640168177,5
"114",2,4,7,1.08036769332408,0.75,9.99967852144474,9
"115",2,5,7,-0.373544659682419,0.633582427536232,-1.126513671875,25
"116",3,1,7,-7.97298583146625,0.636992598839174,-0.178253479003906,876
"117",3,2,7,-6.65341921820552,0.633438353345901,-0.148994140625,600
"118",3,3,7,-1.73717502289969,0.653037797165014,0.810859375,49
"119",3,4,7,-0.138756822675806,0.761111111111111,9.99967852144474,7
"120",3,5,7,NA,NA,NA,NA
"121",1,1,8,NA,NA,NA,NA
"122",1,2,8,NA,NA,NA,NA
"123",1,3,8,NA,1,NA,2
"124",1,4,8,NA,1,NA,2
"125",1,5,8,-1.04953502789885,0.654892721053473,-0.182153931358643,649
"126",2,1,8,NA,1,NA,2
"127",2,2,8,-0.510655937663571,0.456666666666667,-1.99999640168177,6
"128",2,3,8,0.469479245095973,0.8,9.99967852144474,11
"129",2,4,8,1.02374245525502,0.589294039294039,0.3162109375,14
"130",2,5,8,1.57317270244855,0.77037037037037,9.99967852144474,13
"131",3,1,8,-9.45414889674847,0.657495478670533,0.251287537315674,866
"132",3,2,8,-8.93576597800135,0.64886750326865,0.139583777686768,1171
"133",3,3,8,-1.65882043424666,0.631909820439232,-0.82471923828125,38
"134",3,4,8,-0.0571002963973234,0.733333333333333,9.99967852144474,11
"135",3,5,8,NA,NA,NA,NA
"136",1,1,9,NA,NA,NA,NA
"137",1,2,9,NA,1,NA,2
"138",1,3,9,-0.75391878042863,0.75,2.27125,3
"139",1,4,9,0.638626267811415,1,9.99967852144474,4
"140",1,5,9,-2.03885444508162,0.656338095513676,0.1984375,433
"141",2,1,9,NA,1,NA,2
"142",2,2,9,0.249670822987054,0.75,2.27125,3
"143",2,3,9,1.21558199837913,0.559565580618212,-1.2648974609375,20
"144",2,4,9,0.999232830363276,0.535416666666667,-1.41505859375,9
"145",2,5,9,2.43596059078462,0.588619786646102,-0.31240478515625,39
"146",3,1,9,-8.52706451043538,0.653925285373875,0.125565185546875,757
"147",3,2,9,-7.07415302120693,0.660040319309612,0.151522945574402,547
"148",3,3,9,-3.38622386005865,0.634694207581608,-0.1548828125,241
"149",3,4,9,-1.52094097851642,0.611111111111111,-1.99999640168177,4
"150",3,5,9,NA,NA,NA,NA
"151",1,1,10,NA,NA,NA,NA
"152",1,2,10,NA,1,NA,2
"153",1,3,10,NA,NA,NA,NA
"154",1,4,10,1.04009877410035,0.791666666666667,9.99967852144474,5
"155",1,5,10,-4.01084207008252,0.649144067683597,0.204362183311768,993
"156",2,1,10,-2.04499934735439,0.791666666666667,9.99967852144474,5
"157",2,2,10,-0.0624314093458758,0.75,2.27125,3
"158",2,3,10,NA,1,NA,2
"159",2,4,10,-1.90544115892796,0.716969696969697,0.3633203125,16
"160",2,5,10,0.303390739649234,0.666666666666667,9.99967852144474,9
"161",3,1,10,-1.45266815859318,0.515440969287123,-1.526943359375,14
"162",3,2,10,-7.22690267931692,0.639951684783912,0.304249572753906,521
"163",3,3,10,-1.50919589862723,0.617949220937089,-0.5553125,190
"164",3,4,10,-0.303222756506706,0.75,2.27125,3
"165",3,5,10,NA,NA,NA,NA
"166",1,1,11,NA,NA,NA,NA
"167",1,2,11,NA,NA,NA,NA
"168",1,3,11,NA,NA,NA,NA
"169",1,4,11,-0.26809021589307,0.640136054421769,0.245546875,15
"170",1,5,11,-6.29562929077543,0.650944820568106,-0.17824348519165,919
"171",2,1,11,0.131284476037025,0.75,2.27125,3
"172",2,2,11,NA,1,NA,2
"173",2,3,11,-0.310584979065258,0.535416666666667,-1.41505859375,9
"174",2,4,11,-0.164408516143665,0.654545454545455,1.140625,12
"175",2,5,11,-1.11197758041193,0.642249503968254,-0.8939111328125,17
"176",3,1,11,-6.99574156116968,0.649811611805815,0.0196150970458984,525
"177",3,2,11,-3.57647275137777,0.653226620239714,0.172674560546875,268
"178",3,3,11,-2.42309563091134,0.651736530592675,-0.00177734375,119
"179",3,4,11,0.282291506157306,0.673333333333333,-0.9321875,6
"180",3,5,11,NA,NA,NA,NA
"181",1,1,12,NA,NA,NA,NA
"182",1,2,12,0.412881681608567,0.75,2.27125,3
"183",1,3,12,NA,1,NA,2
"184",1,4,12,1.92036990972228,0.723131313131313,-0.349208984375,16
"185",1,5,12,0.687665537329882,0.638417055581235,-0.4110400390625,68
"186",2,1,12,NA,1,NA,2
"187",2,2,12,-0.107689284711096,0.875,9.99967852144474,7
"188",2,3,12,0.0518985322379409,0.597619047619048,0.29265625,8
"189",2,4,12,0.424906413973593,0.75,2.27125,3
"190",2,5,12,1.09151693934497,0.60374149659864,-1.244287109375,8
"191",3,1,12,-11.6613901760365,0.658753336058527,0.0734850207610169,1098
"192",3,2,12,-7.5475212698236,0.647819522477324,-0.0135546875,706
"193",3,3,12,-4.46871027213255,0.623645124373713,-0.338904142202725,272
"194",3,4,12,-0.386514277613011,0.8125,-0.366875,5
"195",3,5,12,NA,NA,NA,NA
"196",1,1,13,NA,NA,NA,NA
"197",1,2,13,NA,NA,NA,NA
"198",1,3,13,NA,NA,NA,NA
"199",1,4,13,1.00142714339475,0.75,2.27125,3
"200",1,5,13,-4.20521086308676,0.642333841467849,-0.0551434326171875,1150
"201",2,1,13,NA,1,NA,2
"202",2,2,13,-0.0336102596270609,0.520833333333333,-1.99999640168177,5
"203",2,3,13,NA,1,NA,2
"204",2,4,13,1.11494338268639,0.725,9.99967852144474,9
"205",2,5,13,1.85184785189153,0.566334751369353,-1.35768724128198,18
"206",3,1,13,-17.5389565243094,0.638288742582741,-0.137193794250488,2882
"207",3,2,13,-10.3515693881098,0.638462733925066,-0.02533203125,1232
"208",3,3,13,1.47767521072182,0.602777777777778,-1.69989048424878,7
"209",3,4,13,-0.835179807495233,1,9.99967852144474,4
"210",3,5,13,NA,NA,NA,NA
"211",1,1,14,NA,NA,NA,NA
"212",1,2,14,NA,NA,NA,NA
"213",1,3,14,NA,NA,NA,NA
"214",1,4,14,-0.11914066024478,0.75,2.27125,3
"215",1,5,14,-4.57579866104953,0.649106681671234,-0.0959500885009765,966
"216",2,1,14,0.159089171357182,0.791666666666667,9.99967852144474,5
"217",2,2,14,-1.04600750330604,0.791666666666667,9.99967852144474,5
"218",2,3,14,0.702196738128873,0.719230769230769,9.99967852144474,14
"219",2,4,14,-0.664770566470179,0.786324786324786,9.99967852144474,14
"220",2,5,14,NA,1,NA,2
"221",3,1,14,-3.77565956942091,0.658012659749928,0.1277734375,270
"222",3,2,14,-4.64285265478732,0.645230451425883,-0.1166064453125,312
"223",3,3,14,-3.10011242007521,0.673275348645388,0.0777197265625,179
