"","param_vary","i_param_var","replicate","gamma","B2","SR"
"1",1,1,0,NA,1,2
"2",1,2,0,NA,1,2
"3",1,3,0,-0.984192754716079,4.7470703125,39
"4",1,4,0,-15.0470215038052,8.28543636202812,1453
"5",1,5,0,NA,NA,NA
"6",2,1,0,-0.59807637278758,1.875,5
"7",2,2,0,-2.26175830619506,2.8203125,19
"8",2,3,0,-0.928639459554022,4.916015625,47
"9",2,4,0,0.588901391052293,5.32958984375,89
"10",2,5,0,-1.40512559978942,4.40936279296875,268
"11",3,1,0,-0.44114677073609,4.19140625,30
"12",3,2,0,-1.56184365583122,5.25146484375,70
"13",3,3,0,-0.69651640188641,2.55859375,22
"14",3,4,0,0.456107802753232,1.5,3
"15",3,5,0,0.546923074576836,3.15625,15
"16",4,1,0,-5.11144773487162,3.623291015625,113
"17",4,2,0,-4.81939293243449,6.3494873046875,212
"18",4,3,0,-0.977134595523118,2.6591796875,25
"19",4,4,0,NA,NA,NA
"20",4,5,0,NA,NA,NA
"21",5,1,0,-0.966272516584005,5.189208984375,76
"22",5,2,0,-1.98910318490484,4.923828125,74
"23",5,3,0,-2.08621915314288,2.87109375,34
"24",5,4,0,-1.82911942803078,4.49609375,36
"25",5,5,0,NA,1,2
"26",1,1,1,NA,1,2
"27",1,2,1,NA,1,2
"28",1,3,1,-4.11447133378163,5.1845703125,84
"29",1,4,1,-9.13002793285082,7.8712043762207,822
"30",1,5,1,NA,NA,NA
"31",2,1,1,-0.815279500744924,1.75,4
"32",2,2,1,-1.82172668747415,4.2265625,29
"33",2,3,1,-3.86455653104817,5.78125,108
"34",2,4,1,-1.84103538280261,5.4296875,119
"35",2,5,1,1.08953193832113,4.55810546875,57
"36",3,1,1,-0.779748554833385,4.30908203125,47
"37",3,2,1,-1.34672473767496,4.59375,49
"38",3,3,1,0.452270225993475,2.3671875,19
"39",3,4,1,-1.07943876049918,3.3125,13
"40",3,5,1,-0.665906660464695,5.150390625,71
"41",4,1,1,-4.46967881078405,4.27589416503906,267
"42",4,2,1,-4.92452196765079,5.95147705078125,198
"43",4,3,1,-2.874744790273,4.1005859375,58
"44",4,4,1,NA,NA,NA
"45",4,5,1,NA,NA,NA
"46",5,1,1,-3.71000478935014,5.3729248046875,108
"47",5,2,1,-3.5674834739647,5.939208984375,97
"48",5,3,1,-0.0360167423230147,2.21875,10
"49",5,4,1,-1.36678559572898,2.234375,9
"50",5,5,1,-1.82102066437259,1.9375,6
"51",1,1,2,NA,1,2
"52",1,2,2,NA,1,2
"53",1,3,2,-2.61158289064572,5.16552734375,84
"54",1,4,2,-11.5197939975204,6.67711639404297,1034
"55",1,5,2,NA,NA,NA
"56",2,1,2,-1.5278347579758,1.5,3
"57",2,2,2,-2.13553246911426,3.5078125,23
"58",2,3,2,-1.31326492729597,4.71875,50
"59",2,4,2,-0.218361686413009,4.25,68
"60",2,5,2,0.718579916442547,5.67948913574219,318
"61",3,1,2,-0.717592353119904,4.25,31
"62",3,2,2,-1.85239981870118,5.40673828125,80
"63",3,3,2,-1.39052269892855,3.90576171875,45
"64",3,4,2,-2.16752548242452,4.59521484375,71
"65",3,5,2,-3.62567761451708,5.43359375,121
"66",4,1,2,-4.71466387221288,6.5732421875,222
"67",4,2,2,-6.38573422895124,5.33847045898438,281
"68",4,3,2,-2.24764977562942,5.052734375,67
"69",4,4,2,NA,NA,NA
"70",4,5,2,NA,NA,NA
"71",5,1,2,NA,1,2
"72",5,2,2,-0.533143307687914,2.921875,19
"73",5,3,2,-0.338860451482835,3.046875,25
"74",5,4,2,-0.778602395316087,3.720703125,31
"75",5,5,2,NA,1,2
"76",1,1,3,NA,1,2
"77",1,2,3,NA,1,2
"78",1,3,3,-3.46082270944231,5.3914794921875,123
"79",1,4,3,-12.9627214692737,8.58161076903343,1761
"80",1,5,3,NA,NA,NA
"81",2,1,3,-1.23152813816105,2,5
"82",2,2,3,NA,1,2
"83",2,3,3,0.821067466236961,2.125,6
"84",2,4,3,-1.41355887115947,4.817626953125,97
"85",2,5,3,0.394542315226767,3.1602783203125,90
"86",3,1,3,-0.551943067995896,2.63671875,18
"87",3,2,3,-1.06556473771323,4.203125,29
"88",3,3,3,-1.97322283882948,4.40234375,36
"89",3,4,3,-1.17614714642796,5.0673828125,61
"90",3,5,3,-1.76338012933005,5.1962890625,90
"91",4,1,3,NA,1,2
"92",4,2,3,-6.45290526340602,4.40419006347656,319
"93",4,3,3,-2.42221619457682,5.130859375,91
"94",4,4,3,NA,NA,NA
"95",4,5,3,NA,NA,NA
"96",5,1,3,-3.01032674597039,4.92181396484375,91
"97",5,2,3,-4.34645940303565,4.77484130859375,106
"98",5,3,3,-0.635027192425273,2.921875,25
"99",5,4,3,0.434258043594937,3.328125,15
"100",5,5,3,NA,1,2
"101",1,1,4,NA,1,2
"102",1,2,4,NA,1,2
"103",1,3,4,-2.07878155541575,4.9580078125,60
"104",1,4,4,-5.12931814167565,6.49853515625,256
"105",1,5,4,NA,NA,NA
"106",2,1,4,-1.24714803929878,1.5,3
"107",2,2,4,-1.63853991603961,4.03125,19
"108",2,3,4,-2.68086873464482,4.575927734375,60
